,obstacle_density,food_density,nr_hives,Run,baby_bee,death_age,food,forage_bee,n_bees,n_births,n_deaths,rest_bee,scout_bee,width,height
72,10,20,3,72,0,0,372.2480857418997,22,122,0,0,7,93,50,50
73,10,20,3,73,0,0,335.5386912334386,9,123,0,0,10,104,50,50
74,10,20,3,74,0,0,253.96989999999937,12,122,0,0,10,100,50,50
75,10,20,3,75,0,0,331.8375462983752,16,121,0,0,8,97,50,50
76,10,20,3,76,0,0,294.06846956194016,15,123,0,0,7,101,50,50
77,10,20,3,77,0,0,340.05665096393915,19,123,0,0,12,92,50,50
78,10,20,3,78,0,0,321.2382285639599,19,124,1,0,8,97,50,50
79,10,20,3,79,0,0,256.70279096393944,15,120,0,0,9,96,50,50
80,10,20,5,80,0,0,440.14327295785847,30,200,0,0,12,158,50,50
81,10,20,5,81,0,0,438.48693256793877,36,206,2,0,10,160,50,50
82,10,20,5,82,0,0,426.3312541759588,24,201,0,0,19,158,50,50
83,10,20,5,83,0,0,358.97795999999903,20,200,0,0,7,173,50,50
84,10,20,5,84,0,0,488.04231367159844,20,204,0,0,14,170,50,50
85,10,20,5,85,0,0,545.739843897497,28,200,0,0,17,155,50,50
86,10,20,5,86,0,0,330.3657789979991,25,201,0,0,10,166,50,50
87,10,20,5,87,0,0,541.1559197999993,40,201,0,0,21,140,50,50
88,10,20,5,88,0,0,409.90284994583925,28,202,1,0,17,157,50,50
89,10,20,5,89,0,0,501.8982666279068,40,206,0,0,11,155,50,50
90,20,5,1,90,0,0,12.200000000000008,2,40,0,0,0,38,50,50
91,20,5,1,91,0,0,42.799999999999926,1,40,0,0,2,37,50,50
92,20,5,1,92,0,0,42.99999999999993,2,40,0,0,0,38,50,50
93,20,5,1,93,0,0,35.197999999999965,2,41,0,0,1,38,50,50
94,20,5,1,94,0,0,31.000000000000018,3,40,0,0,1,36,50,50
95,20,5,1,95,0,0,19.400000000000016,4,40,0,0,1,35,50,50
96,20,5,1,96,0,0,32.60000000000002,5,40,0,0,1,34,50,50
97,20,5,1,97,0,0,15.800000000000015,4,40,0,0,0,36,50,50
98,20,5,1,98,0,0,35.399999999999956,5,40,0,0,1,34,50,50
99,20,5,1,99,0,0,35.20000000000003,4,40,0,0,2,34,50,50
100,20,5,3,100,0,0,77.19999999999999,6,120,0,0,6,108,50,50
101,20,5,3,101,0,0,50.60000000000002,4,120,0,0,4,112,50,50
102,20,5,3,102,0,0,76.40000000000006,3,120,0,0,4,113,50,50
103,20,5,3,103,0,0,43.20000000000003,4,120,0,0,1,115,50,50
104,20,5,3,104,0,0,91.38993979999996,6,122,0,0,6,110,50,50
105,20,5,3,105,0,0,120.79999999999984,9,120,0,0,8,103,50,50
106,20,5,3,106,0,0,57.00000000000006,3,120,0,0,3,114,50,50
107,20,5,3,107,0,0,94.79999999999993,3,120,0,0,3,114,50,50
