,HiveID,FoodLocs
42,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
43,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
44,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
45,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
46,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
47,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
48,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
49,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
50,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
51,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
52,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
53,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
54,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
55,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (19, 11), (27, 3), (17, 13), (29, 22), (33, 20)]"
56,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
57,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
58,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
59,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
60,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
61,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
62,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
63,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
64,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
65,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
66,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
67,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
68,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
69,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (23, 8), (27, 1), (31, 0), (40, 14)]"
70,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
71,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
72,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
73,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
74,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
75,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
76,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (22, 23), (35, 6)]"
77,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
78,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
79,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
80,42,"[(27, 10), (27, 10), (30, 8), (23, 16), (25, 17), (32, 19), (32, 17), (17, 13), (39, 12), (29, 1), (31, 27)]"
